Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.403929	2	1	0	0	58.8902
0.404929	2	1	0	0	58.8902
0.405929	2	1	0	0	58.8902
0.406929	2	1	0	0	58.8902
0.407929	2	1	0	0	58.8902
0.408929	2	1	0	0	58.8902
0.409929	2	1	0	0	55.8799
0.409929	2	1	0	1	55.3443
0.410929	2	1	0	0	55.8799
0.410929	2	1	0	1	55.3443
0.411929	2	1	0	0	55.8799
0.411929	2	1	0	1	55.3443
0.412929	2	1	0	0	55.8799
0.412929	2	1	0	1	55.3443
0.413929	2	1	0	0	55.8799
0.413929	2	1	0	1	55.3443
0.414929	2	1	0	0	55.8799
0.414929	2	1	0	1	55.3443
0.415929	2	1	0	0	63.315
0.415929	2	1	0	1	63.5391
0.416929	2	1	0	0	63.315
0.416929	2	1	0	1	63.5391
0.417929	2	1	0	0	63.315
0.417929	2	1	0	1	63.5391
0.418929	2	1	0	0	63.315
0.418929	2	1	0	1	63.5391
0.419929	2	1	0	0	63.315
0.419929	2	1	0	1	63.5391
0.420929	2	1	0	0	63.315
0.420929	2	1	0	1	63.5391
0.421929	2	1	0	0	63.315
0.421929	2	1	0	1	63.5391
0.422929	2	1	0	0	63.315
0.422929	2	1	0	1	63.5391
0.423929	2	1	0	0	63.315
0.423929	2	1	0	1	63.5391
0.424929	2	1	0	0	63.315
0.424929	2	1	0	1	63.5391
0.425929	2	1	0	0	63.315
0.425929	2	1	0	1	63.5391
0.426929	2	1	0	0	63.315
0.426929	2	1	0	1	63.5391
0.427929	2	1	0	0	63.315
0.427929	2	1	0	1	63.5391
0.428929	2	1	0	0	63.315
0.428929	2	1	0	1	63.5391
0.429929	2	1	0	0	63.315
0.429929	2	1	0	1	63.5391
0.430929	2	1	0	0	63.315
0.430929	2	1	0	1	63.5391
0.431929	2	1	0	0	63.315
0.431929	2	1	0	1	63.5391
0.432929	2	1	0	0	63.315
0.432929	2	1	0	1	63.5391
0.433929	2	1	0	0	63.315
0.433929	2	1	0	1	63.5391
0.434929	2	1	0	0	63.315
0.434929	2	1	0	1	63.5391
0.435929	2	1	0	0	63.315
0.435929	2	1	0	1	63.5391
0.436929	2	1	0	0	63.315
0.436929	2	1	0	1	63.5391
0.437929	2	1	0	0	63.315
0.437929	2	1	0	1	63.5391
0.438929	2	1	0	0	63.315
0.438929	2	1	0	1	63.5391
0.439929	2	1	0	0	63.315
0.439929	2	1	0	1	63.5391
0.440929	2	1	0	0	63.315
0.440929	2	1	0	1	63.5391
0.441929	2	1	0	0	63.315
0.441929	2	1	0	1	63.5391
0.442929	2	1	0	0	63.315
0.442929	2	1	0	1	63.5391
0.443929	2	1	0	0	63.315
0.443929	2	1	0	1	63.5391
0.444929	2	1	0	0	63.315
0.444929	2	1	0	1	63.5391
0.445929	2	1	0	0	63.315
0.445929	2	1	0	1	63.5391
0.446929	2	1	0	0	63.315
0.446929	2	1	0	1	63.5391
0.447929	2	1	0	0	63.315
0.447929	2	1	0	1	63.5391
0.448929	2	1	0	0	63.315
0.448929	2	1	0	1	63.5391
0.449929	2	1	0	0	63.315
0.449929	2	1	0	1	63.5391
0.450929	2	1	0	0	63.315
0.450929	2	1	0	1	63.5391
0.451929	2	1	0	0	63.315
0.451929	2	1	0	1	63.5391
0.452929	2	1	0	0	63.315
0.452929	2	1	0	1	63.5391
0.453929	2	1	0	0	63.315
0.453929	2	1	0	1	63.5391
0.454929	2	1	0	0	63.315
0.454929	2	1	0	1	63.5391
0.455929	2	1	0	0	63.315
0.455929	2	1	0	1	63.5391
0.456929	2	1	0	0	63.315
0.456929	2	1	0	1	63.5391
