time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.406029	2	1	4	1030	0.00602677
0.409029	2	1	4	1030	0.00898677
0.410029	2	1	4	1030	0.00994677
0.410029	2	1	4	1030	0.00990677
0.410029	2	1	4	1030	0.00986677
0.410029	2	1	4	1030	0.00982677
0.410029	2	1	4	1030	0.00978677
0.410029	2	1	4	1030	0.00974677
0.410029	2	1	4	1030	0.00970677
0.410029	2	1	4	1030	0.00966677
0.410029	2	1	4	1030	0.00962677
0.410029	2	1	4	1030	0.00958677
0.410029	2	1	4	1030	0.00954677
0.410029	2	1	4	1030	0.00950677
0.410029	2	1	4	1030	0.00946677
0.411029	2	1	4	1030	0.0104268
0.411029	2	1	4	1030	0.0103868
0.411029	2	1	4	1030	0.0103468
0.411029	2	1	4	1030	0.0103068
0.411029	2	1	4	1030	0.0102668
0.411029	2	1	4	1030	0.0102268
0.411029	2	1	4	1030	0.0101868
0.411029	2	1	4	1030	0.0101468
0.411029	2	1	4	1030	0.0101068
0.411029	2	1	4	1030	0.0100668
0.411029	2	1	4	1030	0.0100268
0.411029	2	1	4	1030	0.00998677
0.411029	2	1	4	1030	0.00994677
0.412029	2	1	4	1030	0.0109068
0.412029	2	1	4	1030	0.0108668
0.412029	2	1	4	1030	0.0108268
0.412029	2	1	4	1030	0.0107868
0.412029	2	1	4	1030	0.0107468
0.412029	2	1	4	1030	0.0107068
0.412029	2	1	4	1030	0.0106668
0.412029	2	1	4	1030	0.0106268
0.412029	2	1	4	1030	0.0105868
0.412029	2	1	4	1030	0.0105468
0.412029	2	1	4	1030	0.0105068
0.412029	2	1	4	1030	0.0104668
0.412029	2	1	4	1030	0.0104268
0.413029	2	1	4	1030	0.0113868
0.413029	2	1	4	1030	0.0113468
0.413029	2	1	4	1030	0.0113068
0.413029	2	1	4	1030	0.0112668
0.413029	2	1	4	1030	0.0112268
0.413029	2	1	4	1030	0.0111868
0.413029	2	1	4	1030	0.0111468
0.413029	2	1	4	1030	0.0111068
0.413029	2	1	4	1030	0.0110668
0.413029	2	1	4	1030	0.0110268
0.413029	2	1	4	1030	0.0109868
0.413029	2	1	4	1030	0.0109468
0.413029	2	1	4	1030	0.0109068
0.414029	2	1	4	1030	0.0118668
0.414029	2	1	4	1030	0.0118268
0.414029	2	1	4	1030	0.0117868
0.414029	2	1	4	1030	0.0117468
0.414029	2	1	4	1030	0.0117068
0.414029	2	1	4	1030	0.0116668
0.414029	2	1	4	1030	0.0116268
0.414029	2	1	4	1030	0.0115868
0.414029	2	1	4	1030	0.0115468
0.414029	2	1	4	1030	0.0115068
0.414029	2	1	4	1030	0.0114668
0.414029	2	1	4	1030	0.0114268
0.414029	2	1	4	1030	0.0113868
0.415029	2	1	4	1030	0.0123468
0.415029	2	1	4	1030	0.0123068
0.415029	2	1	4	1030	0.0122668
0.415029	2	1	4	1030	0.0122268
0.415029	2	1	4	1030	0.0121868
0.415029	2	1	4	1030	0.0121468
0.415029	2	1	4	1030	0.0121068
0.415029	2	1	4	1030	0.0120668
0.415029	2	1	4	1030	0.0120268
0.415029	2	1	4	1030	0.0119868
0.415029	2	1	4	1030	0.0119468
0.415029	2	1	4	1030	0.0119068
0.415029	2	1	4	1030	0.0118668
0.416029	2	1	4	1030	0.0128268
0.416029	2	1	4	1030	0.0127868
0.416029	2	1	4	1030	0.0127468
0.416029	2	1	4	1030	0.0127068
0.416029	2	1	4	1030	0.0126668
0.416029	2	1	4	1030	0.0126268
0.416029	2	1	4	1030	0.0125868
0.416029	2	1	4	1030	0.0125468
0.416029	2	1	4	1030	0.0125068
0.416029	2	1	4	1030	0.0124668
0.416029	2	1	4	1030	0.0124268
0.416029	2	1	4	1030	0.0123868
0.416029	2	1	4	1030	0.0123468
0.416029	2	1	4	1030	0.0123068
0.416029	2	1	4	1030	0.0122668
0.416029	2	1	4	1030	0.0122268
0.416029	2	1	4	1030	0.0121868
0.416029	2	1	4	1030	0.0121468
0.416029	2	1	4	1030	0.0121068
0.416029	2	1	4	1030	0.0120668
0.416029	2	1	4	1030	0.0120268
0.416029	2	1	4	1030	0.0119868
0.416029	2	1	4	1030	0.0119468
0.416029	2	1	4	1030	0.0119068
0.416029	2	1	4	1030	0.0118668
0.417029	2	1	4	1030	0.0128268
0.417029	2	1	4	1030	0.0127868
0.417029	2	1	4	1030	0.0127468
0.417029	2	1	4	1030	0.0127068
0.417029	2	1	4	1030	0.0126668
0.417029	2	1	4	1030	0.0126268
0.417029	2	1	4	1030	0.0125868
0.417029	2	1	4	1030	0.0125468
0.417029	2	1	4	1030	0.0125068
0.417029	2	1	4	1030	0.0124668
0.417029	2	1	4	1030	0.0124268
0.417029	2	1	4	1030	0.0123868
0.417029	2	1	4	1030	0.0123468
0.417029	2	1	4	1030	0.0123068
0.417029	2	1	4	1030	0.0122668
0.417029	2	1	4	1030	0.0122268
0.417029	2	1	4	1030	0.0121868
0.417029	2	1	4	1030	0.0121468
0.417029	2	1	4	1030	0.0121068
0.417029	2	1	4	1030	0.0120668
0.417029	2	1	4	1030	0.0120268
0.417029	2	1	4	1030	0.0119868
0.417029	2	1	4	1030	0.0119468
0.417029	2	1	4	1030	0.0119068
0.417029	2	1	4	1030	0.0118668
0.418029	2	1	4	1030	0.0128268
0.418029	2	1	4	1030	0.0127868
0.418029	2	1	4	1030	0.0127468
0.418029	2	1	4	1030	0.0127068
0.418029	2	1	4	1030	0.0126668
0.418029	2	1	4	1030	0.0126268
0.418029	2	1	4	1030	0.0125868
0.418029	2	1	4	1030	0.0125468
0.418029	2	1	4	1030	0.0125068
0.418029	2	1	4	1030	0.0124668
0.418029	2	1	4	1030	0.0124268
0.418029	2	1	4	1030	0.0123868
0.418029	2	1	4	1030	0.0123468
0.418029	2	1	4	1030	0.0123068
0.418029	2	1	4	1030	0.0122668
0.418029	2	1	4	1030	0.0122268
0.418029	2	1	4	1030	0.0121868
0.418029	2	1	4	1030	0.0121468
0.418029	2	1	4	1030	0.0121068
0.418029	2	1	4	1030	0.0120668
0.418029	2	1	4	1030	0.0120268
0.418029	2	1	4	1030	0.0119868
0.418029	2	1	4	1030	0.0119468
0.418029	2	1	4	1030	0.0119068
0.418029	2	1	4	1030	0.0118668
0.419029	2	1	4	1030	0.0128268
0.419029	2	1	4	1030	0.0127868
0.419029	2	1	4	1030	0.0127468
0.419029	2	1	4	1030	0.0127068
0.419029	2	1	4	1030	0.0126668
0.419029	2	1	4	1030	0.0126268
0.419029	2	1	4	1030	0.0125868
0.419029	2	1	4	1030	0.0125468
0.419029	2	1	4	1030	0.0125068
0.419029	2	1	4	1030	0.0124668
0.419029	2	1	4	1030	0.0124268
0.419029	2	1	4	1030	0.0123868
0.419029	2	1	4	1030	0.0123468
0.419029	2	1	4	1030	0.0123068
0.419029	2	1	4	1030	0.0122668
0.419029	2	1	4	1030	0.0122268
0.419029	2	1	4	1030	0.0121868
0.419029	2	1	4	1030	0.0121468
0.419029	2	1	4	1030	0.0121068
0.419029	2	1	4	1030	0.0120668
0.419029	2	1	4	1030	0.0120268
0.419029	2	1	4	1030	0.0119868
0.419029	2	1	4	1030	0.0119468
0.419029	2	1	4	1030	0.0119068
0.419029	2	1	4	1030	0.0118668
0.420029	2	1	4	1030	0.0128268
0.420029	2	1	4	1030	0.0127868
0.420029	2	1	4	1030	0.0127468
0.420029	2	1	4	1030	0.0127068
0.420029	2	1	4	1030	0.0126668
0.420029	2	1	4	1030	0.0126268
0.420029	2	1	4	1030	0.0125868
0.420029	2	1	4	1030	0.0125468
0.420029	2	1	4	1030	0.0125068
0.420029	2	1	4	1030	0.0124668
0.420029	2	1	4	1030	0.0124268
0.420029	2	1	4	1030	0.0123868
0.420029	2	1	4	1030	0.0123468
0.420029	2	1	4	1030	0.0123068
0.420029	2	1	4	1030	0.0122668
0.420029	2	1	4	1030	0.0122268
0.420029	2	1	4	1030	0.0121868
0.420029	2	1	4	1030	0.0121468
0.420029	2	1	4	1030	0.0121068
0.420029	2	1	4	1030	0.0120668
0.420029	2	1	4	1030	0.0120268
0.420029	2	1	4	1030	0.0119868
0.420029	2	1	4	1030	0.0119468
0.420029	2	1	4	1030	0.0119068
0.420029	2	1	4	1030	0.0118668
0.421029	2	1	4	1030	0.0128268
0.421029	2	1	4	1030	0.0127868
0.421029	2	1	4	1030	0.0127468
0.421029	2	1	4	1030	0.0127068
0.421029	2	1	4	1030	0.0126668
0.421029	2	1	4	1030	0.0126268
0.421029	2	1	4	1030	0.0125868
0.421029	2	1	4	1030	0.0125468
0.421029	2	1	4	1030	0.0125068
0.421029	2	1	4	1030	0.0124668
0.421029	2	1	4	1030	0.0124268
0.421029	2	1	4	1030	0.0123868
0.421029	2	1	4	1030	0.0123468
0.421029	2	1	4	1030	0.0123068
0.421029	2	1	4	1030	0.0122668
0.421029	2	1	4	1030	0.0122268
0.421029	2	1	4	1030	0.0121868
0.421029	2	1	4	1030	0.0121468
0.421029	2	1	4	1030	0.0121068
0.421029	2	1	4	1030	0.0120668
0.421029	2	1	4	1030	0.0120268
0.421029	2	1	4	1030	0.0119868
0.421029	2	1	4	1030	0.0119468
0.421029	2	1	4	1030	0.0119068
0.421029	2	1	4	1030	0.0118668
0.421029	2	1	4	1030	0.0118268
0.422029	2	1	4	1030	0.0127868
0.422029	2	1	4	1030	0.0127468
0.422029	2	1	4	1030	0.0127068
0.422029	2	1	4	1030	0.0126668
0.422029	2	1	4	1030	0.0126268
0.422029	2	1	4	1030	0.0125868
0.422029	2	1	4	1030	0.0125468
0.422029	2	1	4	1030	0.0125068
0.422029	2	1	4	1030	0.0124668
0.422029	2	1	4	1030	0.0124268
0.422029	2	1	4	1030	0.0123868
0.422029	2	1	4	1030	0.0123468
0.422029	2	1	4	1030	0.0123068
0.422029	2	1	4	1030	0.0122668
0.422029	2	1	4	1030	0.0122268
0.422029	2	1	4	1030	0.0121868
0.422029	2	1	4	1030	0.0121468
0.422029	2	1	4	1030	0.0121068
0.422029	2	1	4	1030	0.0120668
0.422029	2	1	4	1030	0.0120268
0.422029	2	1	4	1030	0.0119868
0.422029	2	1	4	1030	0.0119468
0.422029	2	1	4	1030	0.0119068
0.422029	2	1	4	1030	0.0118668
0.422029	2	1	4	1030	0.0118268
0.423029	2	1	4	1030	0.0127868
0.423029	2	1	4	1030	0.0127468
0.423029	2	1	4	1030	0.0127068
0.423029	2	1	4	1030	0.0126668
0.423029	2	1	4	1030	0.0126268
0.423029	2	1	4	1030	0.0125868
0.423029	2	1	4	1030	0.0125468
0.423029	2	1	4	1030	0.0125068
0.423029	2	1	4	1030	0.0124668
0.423029	2	1	4	1030	0.0124268
0.423029	2	1	4	1030	0.0123868
0.423029	2	1	4	1030	0.0123468
0.423029	2	1	4	1030	0.0123068
0.423029	2	1	4	1030	0.0122668
0.423029	2	1	4	1030	0.0122268
0.423029	2	1	4	1030	0.0121868
0.423029	2	1	4	1030	0.0121468
0.423029	2	1	4	1030	0.0121068
0.423029	2	1	4	1030	0.0120668
0.423029	2	1	4	1030	0.0120268
0.423029	2	1	4	1030	0.0119868
0.423029	2	1	4	1030	0.0119468
0.423029	2	1	4	1030	0.0119068
0.423029	2	1	4	1030	0.0118668
0.423029	2	1	4	1030	0.0118268
0.424029	2	1	4	1030	0.0127868
0.424029	2	1	4	1030	0.0127468
0.424029	2	1	4	1030	0.0127068
0.424029	2	1	4	1030	0.0126668
0.424029	2	1	4	1030	0.0126268
0.424029	2	1	4	1030	0.0125868
0.424029	2	1	4	1030	0.0125468
0.424029	2	1	4	1030	0.0125068
0.424029	2	1	4	1030	0.0124668
0.424029	2	1	4	1030	0.0124268
0.424029	2	1	4	1030	0.0123868
0.424029	2	1	4	1030	0.0123468
0.424029	2	1	4	1030	0.0123068
0.424029	2	1	4	1030	0.0122668
0.424029	2	1	4	1030	0.0122268
0.424029	2	1	4	1030	0.0121868
0.424029	2	1	4	1030	0.0121468
0.424029	2	1	4	1030	0.0121068
0.424029	2	1	4	1030	0.0120668
0.424029	2	1	4	1030	0.0120268
0.424029	2	1	4	1030	0.0119868
0.424029	2	1	4	1030	0.0119468
0.424029	2	1	4	1030	0.0119068
0.424029	2	1	4	1030	0.0118668
0.424029	2	1	4	1030	0.0118268
0.425029	2	1	4	1030	0.0127868
0.425029	2	1	4	1030	0.0127468
0.425029	2	1	4	1030	0.0127068
0.425029	2	1	4	1030	0.0126668
0.425029	2	1	4	1030	0.0126268
0.425029	2	1	4	1030	0.0125868
0.425029	2	1	4	1030	0.0125468
0.425029	2	1	4	1030	0.0125068
0.425029	2	1	4	1030	0.0124668
0.425029	2	1	4	1030	0.0124268
0.425029	2	1	4	1030	0.0123868
0.425029	2	1	4	1030	0.0123468
0.425029	2	1	4	1030	0.0123068
0.425029	2	1	4	1030	0.0122668
0.425029	2	1	4	1030	0.0122268
0.425029	2	1	4	1030	0.0121868
0.425029	2	1	4	1030	0.0121468
0.425029	2	1	4	1030	0.0121068
0.425029	2	1	4	1030	0.0120668
0.425029	2	1	4	1030	0.0120268
0.425029	2	1	4	1030	0.0119868
0.425029	2	1	4	1030	0.0119468
0.425029	2	1	4	1030	0.0119068
0.425029	2	1	4	1030	0.0118668
0.425029	2	1	4	1030	0.0118268
0.426029	2	1	4	1030	0.0127868
0.426029	2	1	4	1030	0.0127468
0.426029	2	1	4	1030	0.0127068
0.426029	2	1	4	1030	0.0126668
0.426029	2	1	4	1030	0.0126268
0.426029	2	1	4	1030	0.0125868
0.426029	2	1	4	1030	0.0125468
0.426029	2	1	4	1030	0.0125068
0.426029	2	1	4	1030	0.0124668
0.426029	2	1	4	1030	0.0124268
0.426029	2	1	4	1030	0.0123868
0.426029	2	1	4	1030	0.0123468
0.426029	2	1	4	1030	0.0123068
0.426029	2	1	4	1030	0.0122668
0.426029	2	1	4	1030	0.0122268
0.426029	2	1	4	1030	0.0121868
0.426029	2	1	4	1030	0.0121468
0.426029	2	1	4	1030	0.0121068
0.426029	2	1	4	1030	0.0120668
0.426029	2	1	4	1030	0.0120268
0.426029	2	1	4	1030	0.0119868
0.426029	2	1	4	1030	0.0119468
0.426029	2	1	4	1030	0.0119068
0.426029	2	1	4	1030	0.0118668
0.426029	2	1	4	1030	0.0118268
0.427029	2	1	4	1030	0.0127868
0.427029	2	1	4	1030	0.0127468
0.427029	2	1	4	1030	0.0127068
0.427029	2	1	4	1030	0.0126668
0.427029	2	1	4	1030	0.0126268
0.427029	2	1	4	1030	0.0125868
0.427029	2	1	4	1030	0.0125468
0.427029	2	1	4	1030	0.0125068
0.427029	2	1	4	1030	0.0124668
0.427029	2	1	4	1030	0.0124268
0.427029	2	1	4	1030	0.0123868
0.427029	2	1	4	1030	0.0123468
0.427029	2	1	4	1030	0.0123068
0.427029	2	1	4	1030	0.0122668
0.427029	2	1	4	1030	0.0122268
0.427029	2	1	4	1030	0.0121868
0.427029	2	1	4	1030	0.0121468
0.427029	2	1	4	1030	0.0121068
0.427029	2	1	4	1030	0.0120668
0.427029	2	1	4	1030	0.0120268
0.427029	2	1	4	1030	0.0119868
0.427029	2	1	4	1030	0.0119468
0.427029	2	1	4	1030	0.0119068
0.427029	2	1	4	1030	0.0118668
0.427029	2	1	4	1030	0.0118268
0.427029	2	1	4	1030	0.0117868
0.428029	2	1	4	1030	0.0127468
0.428029	2	1	4	1030	0.0127068
0.428029	2	1	4	1030	0.0126668
0.428029	2	1	4	1030	0.0126268
0.428029	2	1	4	1030	0.0125868
0.428029	2	1	4	1030	0.0125468
0.428029	2	1	4	1030	0.0125068
0.428029	2	1	4	1030	0.0124668
0.428029	2	1	4	1030	0.0124268
0.428029	2	1	4	1030	0.0123868
0.428029	2	1	4	1030	0.0123468
0.428029	2	1	4	1030	0.0123068
0.428029	2	1	4	1030	0.0122668
0.428029	2	1	4	1030	0.0122268
0.428029	2	1	4	1030	0.0121868
0.428029	2	1	4	1030	0.0121468
0.428029	2	1	4	1030	0.0121068
0.428029	2	1	4	1030	0.0120668
0.428029	2	1	4	1030	0.0120268
0.428029	2	1	4	1030	0.0119868
0.428029	2	1	4	1030	0.0119468
0.428029	2	1	4	1030	0.0119068
0.428029	2	1	4	1030	0.0118668
0.428029	2	1	4	1030	0.0118268
0.428029	2	1	4	1030	0.0117868
0.429029	2	1	4	1030	0.0127468
0.429029	2	1	4	1030	0.0127068
0.429029	2	1	4	1030	0.0126668
0.429029	2	1	4	1030	0.0126268
0.429029	2	1	4	1030	0.0125868
0.429029	2	1	4	1030	0.0125468
0.429029	2	1	4	1030	0.0125068
0.429029	2	1	4	1030	0.0124668
0.429029	2	1	4	1030	0.0124268
0.429029	2	1	4	1030	0.0123868
0.429029	2	1	4	1030	0.0123468
0.429029	2	1	4	1030	0.0123068
0.429029	2	1	4	1030	0.0122668
0.429029	2	1	4	1030	0.0122268
0.429029	2	1	4	1030	0.0121868
0.429029	2	1	4	1030	0.0121468
0.429029	2	1	4	1030	0.0121068
0.429029	2	1	4	1030	0.0120668
0.429029	2	1	4	1030	0.0120268
0.429029	2	1	4	1030	0.0119868
0.429029	2	1	4	1030	0.0119468
0.429029	2	1	4	1030	0.0119068
0.429029	2	1	4	1030	0.0118668
0.429029	2	1	4	1030	0.0118268
0.429029	2	1	4	1030	0.0117868
0.430029	2	1	4	1030	0.0127468
0.430029	2	1	4	1030	0.0127068
0.430029	2	1	4	1030	0.0126668
0.430029	2	1	4	1030	0.0126268
0.430029	2	1	4	1030	0.0125868
0.430029	2	1	4	1030	0.0125468
0.430029	2	1	4	1030	0.0125068
0.430029	2	1	4	1030	0.0124668
0.430029	2	1	4	1030	0.0124268
0.430029	2	1	4	1030	0.0123868
