time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.404029	2	1	4	413	0.00302856
0.405029	2	1	4	413	0.00302856
0.406029	2	1	4	413	0.00302856
0.407029	2	1	4	413	0.00302856
0.408029	2	1	4	413	0.00302856
0.409029	2	1	4	413	0.00302856
0.410029	2	1	4	12973	0.00302856
0.410029	2	1	4	413	0.00302856
0.411029	2	1	4	12973	0.00302856
0.411029	2	1	4	413	0.00302856
0.412029	2	1	4	12973	0.00302856
0.412029	2	1	4	413	0.00302856
0.413029	2	1	4	12973	0.00302856
0.413029	2	1	4	413	0.00302856
0.414029	2	1	4	12973	0.00302856
0.414029	2	1	4	413	0.00302856
0.415029	2	1	4	12973	0.00302856
0.415029	2	1	4	413	0.00302856
0.416029	2	1	4	12973	0.00302856
0.416029	2	1	4	12973	0.00302856
0.417029	2	1	4	12973	0.00302856
0.417029	2	1	4	12973	0.00302856
0.418029	2	1	4	12973	0.00302856
0.418029	2	1	4	12973	0.00302856
0.419029	2	1	4	12973	0.00302856
0.419029	2	1	4	12973	0.00302856
0.420029	2	1	4	12973	0.00302856
0.420029	2	1	4	12973	0.00302856
0.421029	2	1	4	12973	0.00302856
0.421029	2	1	4	12973	0.00302856
0.422029	2	1	4	12973	0.00302856
0.422029	2	1	4	12973	0.00302856
0.423029	2	1	4	12973	0.00302856
0.423029	2	1	4	12973	0.00302856
0.424029	2	1	4	12973	0.00302856
0.424029	2	1	4	12973	0.00302856
0.425029	2	1	4	12973	0.00302856
0.425029	2	1	4	12973	0.00302856
0.426029	2	1	4	12973	0.00302856
0.426029	2	1	4	12973	0.00302856
0.427029	2	1	4	12973	0.00302856
0.427029	2	1	4	12973	0.00302856
0.428029	2	1	4	12973	0.00302856
0.428029	2	1	4	12973	0.00302856
0.429029	2	1	4	12973	0.00302856
0.429029	2	1	4	12973	0.00302856
0.430029	2	1	4	12973	0.00302856
0.430029	2	1	4	12973	0.00302856
0.431029	2	1	4	12973	0.00302856
0.431029	2	1	4	12973	0.00302856
0.432029	2	1	4	12973	0.00302856
0.432029	2	1	4	12973	0.00302856
0.433029	2	1	4	12973	0.00302856
0.433029	2	1	4	12973	0.00302856
0.434029	2	1	4	12973	0.00302856
0.434029	2	1	4	12973	0.00302856
0.435029	2	1	4	12973	0.00302856
0.435029	2	1	4	12973	0.00302856
0.436029	2	1	4	12973	0.00302856
0.436029	2	1	4	12973	0.00302856
0.437029	2	1	4	12973	0.00302856
0.437029	2	1	4	12973	0.00302856
0.438029	2	1	4	12973	0.00302856
0.438029	2	1	4	12973	0.00302856
0.439029	2	1	4	12973	0.00302856
0.439029	2	1	4	12973	0.00302856
0.440029	2	1	4	12973	0.00302856
0.440029	2	1	4	12973	0.00302856
0.441029	2	1	4	12973	0.00302856
0.441029	2	1	4	12973	0.00302856
0.442029	2	1	4	12973	0.00302856
0.442029	2	1	4	12973	0.00302856
0.443029	2	1	4	12973	0.00302856
0.443029	2	1	4	12973	0.00302856
0.444029	2	1	4	12973	0.00302856
0.444029	2	1	4	12973	0.00302856
0.445029	2	1	4	12973	0.00302856
0.445029	2	1	4	12973	0.00302856
0.446029	2	1	4	12973	0.00302856
0.446029	2	1	4	12973	0.00302856
0.447029	2	1	4	12973	0.00302856
0.447029	2	1	4	12973	0.00302856
0.448029	2	1	4	12973	0.00302856
0.448029	2	1	4	12973	0.00302856
0.449029	2	1	4	12973	0.00302856
0.449029	2	1	4	12973	0.00302856
0.450029	2	1	4	12973	0.00302856
0.450029	2	1	4	12973	0.00302856
0.451029	2	1	4	12973	0.00302856
0.451029	2	1	4	12973	0.00302856
0.452029	2	1	4	12973	0.00302856
0.452029	2	1	4	12973	0.00302856
0.453029	2	1	4	12973	0.00302856
0.453029	2	1	4	12973	0.00302856
0.454029	2	1	4	12973	0.00302856
0.454029	2	1	4	12973	0.00302856
0.455029	2	1	4	12973	0.00302856
0.455029	2	1	4	12973	0.00302856
0.456029	2	1	4	12973	0.00302856
0.456029	2	1	4	12973	0.00302856
0.457029	2	1	4	12973	0.00302856
0.457029	2	1	4	12973	0.00302856
0.458029	2	1	4	12973	0.00302856
0.458029	2	1	4	12973	0.00302856
0.459029	2	1	4	12973	0.00302856
0.459029	2	1	4	12973	0.00302856
0.460029	2	1	4	12973	0.00302856
0.460029	2	1	4	12973	0.00302856
0.461029	2	1	4	12973	0.00302856
0.461029	2	1	4	12973	0.00302856
0.462029	2	1	4	12973	0.00302856
0.462029	2	1	4	12973	0.00302856
0.463029	2	1	4	12973	0.00302856
0.463029	2	1	4	12973	0.00302856
0.464029	2	1	4	12973	0.00302856
0.464029	2	1	4	12973	0.00302856
0.465029	2	1	4	12973	0.00302856
0.465029	2	1	4	12973	0.00302856
0.466029	2	1	4	12973	0.00302856
0.466029	2	1	4	12973	0.00302856
0.467029	2	1	4	12973	0.00302856
0.467029	2	1	4	12973	0.00302856
0.468029	2	1	4	12973	0.00302856
0.468029	2	1	4	12973	0.00302856
0.469029	2	1	4	12973	0.00302856
0.469029	2	1	4	12973	0.00302856
0.470029	2	1	4	12973	0.00302856
0.470029	2	1	4	12973	0.00302856
0.471029	2	1	4	12973	0.00302856
0.471029	2	1	4	12973	0.00302856
0.472029	2	1	4	12973	0.00302856
0.472029	2	1	4	12973	0.00302856
0.473029	2	1	4	12973	0.00302856
0.473029	2	1	4	12973	0.00302856
0.474029	2	1	4	12973	0.00302856
0.474029	2	1	4	12973	0.00302856
0.475029	2	1	4	12973	0.00302856
0.475029	2	1	4	12973	0.00302856
0.476029	2	1	4	12973	0.00302856
0.476029	2	1	4	12973	0.00302856
0.477029	2	1	4	12973	0.00302856
0.477029	2	1	4	12973	0.00302856
0.478029	2	1	4	12973	0.00302856
0.478029	2	1	4	12973	0.00302856
0.478957	2	1	4	11892	0.00295714
0.478957	2	1	4	11892	0.00295714
0.480029	2	1	4	12973	0.00302856
0.480029	2	1	4	12973	0.00302856
0.481029	2	1	4	12973	0.00302856
0.481029	2	1	4	12973	0.00302856
0.482029	2	1	4	12973	0.00302856
0.482029	2	1	4	12973	0.00302856
0.483029	2	1	4	12973	0.00302856
0.483029	2	1	4	12973	0.00302856
0.484029	2	1	4	12973	0.00302856
0.484029	2	1	4	12973	0.00302856
0.485029	2	1	4	12973	0.00302856
0.485029	2	1	4	12973	0.00302856
0.486029	2	1	4	12973	0.00302856
0.486029	2	1	4	12973	0.00302856
0.487029	2	1	4	12973	0.00302856
0.487029	2	1	4	12973	0.00302856
0.488029	2	1	4	12973	0.00302856
0.488029	2	1	4	12973	0.00302856
0.489029	2	1	4	12973	0.00302856
0.489029	2	1	4	12973	0.00302856
0.490029	2	1	4	12973	0.00302856
0.490029	2	1	4	12973	0.00302856
0.491029	2	1	4	12973	0.00302856
0.491029	2	1	4	12973	0.00302856
0.492029	2	1	4	12973	0.00302856
0.492029	2	1	4	12973	0.00302856
0.493029	2	1	4	12973	0.00302856
0.493029	2	1	4	12973	0.00302856
0.494029	2	1	4	12973	0.00302856
0.494029	2	1	4	12973	0.00302856
0.495029	2	1	4	12973	0.00302856
0.495029	2	1	4	12973	0.00302856
0.496029	2	1	4	12973	0.00302856
0.496029	2	1	4	12973	0.00302856
0.497029	2	1	4	12973	0.00302856
0.497029	2	1	4	12973	0.00302856
0.498029	2	1	4	12973	0.00302856
0.498029	2	1	4	12973	0.00302856
0.499029	2	1	4	12973	0.00302856
0.499029	2	1	4	12973	0.00302856
0.500029	2	1	4	12973	0.00302856
0.500029	2	1	4	12973	0.00302856
0.501029	2	1	4	12973	0.00302856
0.501029	2	1	4	12973	0.00302856
0.502029	2	1	4	12973	0.00302856
0.502029	2	1	4	12973	0.00302856
0.503029	2	1	4	12973	0.00302856
0.503029	2	1	4	12973	0.00302856
0.504029	2	1	4	12973	0.00302856
0.504029	2	1	4	12973	0.00302856
0.505029	2	1	4	12973	0.00302856
0.505029	2	1	4	12973	0.00302856
0.506029	2	1	4	12973	0.00302856
0.506029	2	1	4	12973	0.00302856
0.507029	2	1	4	12973	0.00302856
0.507029	2	1	4	12973	0.00302856
0.508029	2	1	4	12973	0.00302856
0.508029	2	1	4	12973	0.00302856
0.509029	2	1	4	12973	0.00302856
0.509029	2	1	4	12973	0.00302856
0.510029	2	1	4	12973	0.00302856
0.510029	2	1	4	12973	0.00302856
0.511029	2	1	4	12973	0.00302856
0.511029	2	1	4	12973	0.00302856
0.512029	2	1	4	12973	0.00302856
0.512029	2	1	4	12973	0.00302856
0.513029	2	1	4	12973	0.00302856
0.513029	2	1	4	12973	0.00302856
0.514029	2	1	4	12973	0.00302856
0.514029	2	1	4	12973	0.00302856
0.515029	2	1	4	12973	0.00302856
0.515029	2	1	4	12973	0.00302856
0.516029	2	1	4	12973	0.00302856
0.516029	2	1	4	12973	0.00302856
