Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0.018	ENB PHY Rxed	1	7	0	2	0	0	RACH_PREAMBLE
0.0789286	ENB PHY Rxed	7	8	0	2	0	0	SRS
0.0789286	ENB PHY Rxed	7	8	0	2	0	0	SRS
0.158929	ENB PHY Rxed	15	8	0	2	0	0	SRS
0.158929	ENB PHY Rxed	15	8	0	2	0	0	SRS
0.238929	ENB PHY Rxed	23	8	0	2	0	0	SRS
0.238929	ENB PHY Rxed	23	8	0	2	0	0	SRS
0.318929	ENB PHY Rxed	31	8	0	2	0	0	SRS
0.318929	ENB PHY Rxed	31	8	0	2	0	0	SRS
0.398929	ENB PHY Rxed	39	8	0	2	0	0	SRS
0.398929	ENB PHY Rxed	39	8	0	2	0	0	SRS
0.406	ENB PHY Rxed	40	5	0	2	1	0	DL_HARQ
0.407	ENB PHY Rxed	40	6	0	2	1	0	DL_CQI
0.407	ENB PHY Rxed	40	6	0	2	1	0	DL_HARQ
0.408	ENB PHY Rxed	40	7	0	2	1	0	DL_CQI
0.408	ENB PHY Rxed	40	7	0	2	1	0	DL_HARQ
0.409	ENB PHY Rxed	40	8	0	2	1	0	DL_CQI
0.409	ENB PHY Rxed	40	8	0	2	1	0	DL_HARQ
0.41	ENB PHY Rxed	40	9	0	2	1	0	DL_CQI
0.41	ENB PHY Rxed	40	9	0	2	1	0	DL_HARQ
0.411	ENB PHY Rxed	41	0	0	2	1	0	DL_CQI
0.411	ENB PHY Rxed	41	0	0	2	1	0	DL_HARQ
0.412	ENB PHY Rxed	41	1	0	2	1	0	DL_CQI
0.412	ENB PHY Rxed	41	1	0	2	1	0	DL_HARQ
0.412	ENB PHY Rxed	41	1	0	2	1	0	DL_HARQ
0.413	ENB PHY Rxed	41	2	0	2	1	0	DL_CQI
0.413	ENB PHY Rxed	41	2	0	2	1	0	DL_HARQ
0.413	ENB PHY Rxed	41	2	0	2	1	0	DL_HARQ
0.414	ENB PHY Rxed	41	3	0	2	1	0	DL_CQI
0.414	ENB PHY Rxed	41	3	0	2	1	0	DL_HARQ
0.414	ENB PHY Rxed	41	3	0	2	1	0	DL_HARQ
0.415	ENB PHY Rxed	41	4	0	2	1	0	DL_CQI
0.415	ENB PHY Rxed	41	4	0	2	1	0	DL_HARQ
0.415	ENB PHY Rxed	41	4	0	2	1	0	DL_HARQ
0.416	ENB PHY Rxed	41	5	0	2	1	0	DL_CQI
0.416	ENB PHY Rxed	41	5	0	2	1	0	DL_HARQ
0.416	ENB PHY Rxed	41	5	0	2	1	0	DL_HARQ
0.417	ENB PHY Rxed	41	6	0	2	1	0	DL_CQI
0.417	ENB PHY Rxed	41	6	0	2	1	0	DL_HARQ
0.417	ENB PHY Rxed	41	6	0	2	1	0	DL_HARQ
0.418	ENB PHY Rxed	41	7	0	2	1	0	DL_CQI
0.418	ENB PHY Rxed	41	7	0	2	1	0	DL_HARQ
0.418	ENB PHY Rxed	41	7	0	2	1	0	DL_HARQ
0.419	ENB PHY Rxed	41	8	0	2	1	0	DL_CQI
0.419	ENB PHY Rxed	41	8	0	2	1	0	DL_HARQ
0.419	ENB PHY Rxed	41	8	0	2	1	0	DL_HARQ
0.42	ENB PHY Rxed	41	9	0	2	1	0	DL_CQI
0.42	ENB PHY Rxed	41	9	0	2	1	0	DL_HARQ
0.42	ENB PHY Rxed	41	9	0	2	1	0	DL_HARQ
0.421	ENB PHY Rxed	42	0	0	2	1	0	DL_CQI
0.421	ENB PHY Rxed	42	0	0	2	1	0	DL_HARQ
0.421	ENB PHY Rxed	42	0	0	2	1	0	DL_HARQ
0.422	ENB PHY Rxed	42	1	0	2	1	0	DL_CQI
0.422	ENB PHY Rxed	42	1	0	2	1	0	DL_HARQ
0.422	ENB PHY Rxed	42	1	0	2	1	0	DL_HARQ
0.423	ENB PHY Rxed	42	2	0	2	1	0	DL_CQI
0.423	ENB PHY Rxed	42	2	0	2	1	0	DL_HARQ
0.423	ENB PHY Rxed	42	2	0	2	1	0	DL_HARQ
0.424	ENB PHY Rxed	42	3	0	2	1	0	DL_CQI
0.424	ENB PHY Rxed	42	3	0	2	1	0	DL_HARQ
